VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
,2021-01-10 09:52:00,2021-01-10 10:01:00,,3.16,,,41,43,,12.87,0.0,0.5,3.44,0.0,0.3,19.61,2.5
,2021-01-10 09:51:44,2021-01-10 10:12:51,,12.29,,,10,265,,51.05,0.0,0.5,2.75,0.0,0.3,54.6,0.0
,2021-01-10 09:09:57,2021-01-10 09:15:33,,1.82,,,229,236,,8.85,0.0,0.5,2.51,0.0,0.3,14.66,2.5
,2021-01-10 09:45:06,2021-01-10 09:48:43,,0.8,,,236,75,,5.0,0.0,0.5,1.66,0.0,0.3,9.96,2.5
,2021-01-10 09:05:00,2021-01-10 09:25:00,,5.44,,,45,62,,25.43,0.0,0.5,2.75,0.0,0.3,28.98,0.0
,2021-01-10 09:04:00,2021-01-10 09:41:00,,22.98,,,39,90,,32.32,0.0,0.5,2.75,6.12,0.3,41.99,0.0
,2021-01-10 09:31:00,2021-01-10 09:55:00,,7.26,,,131,216,,28.24,0.0,0.5,2.75,0.0,0.3,31.79,0.0
,2021-01-10 09:04:00,2021-01-10 09:31:00,,17.81,,,219,75,,48.0,0.0,0.5,2.75,6.12,0.3,57.67,0.0
,2021-01-10 09:01:48,2021-01-10 09:01:38,,7.04,,,265,234,,32.05,0.0,0.5,0.0,0.0,0.3,32.85,0.0
,2021-01-10 09:23:00,2021-01-10 09:43:00,,5.05,,,210,72,,28.56,0.0,0.5,2.75,0.0,0.3,32.11,0.0
,2021-01-10 09:01:00,2021-01-10 09:13:00,,3.07,,,69,74,,19.84,0.0,0.5,2.75,0.0,0.3,23.39,0.0
,2021-01-10 09:01:06,2021-01-10 09:01:02,,14.51,,,265,247,,39.46,0.0,0.5,0.0,0.0,0.3,40.26,0.0
,2021-01-10 09:49:34,2021-01-10 10:12:15,,11.79,,,201,215,,38.46,0.0,0.0,2.75,2.29,0.3,43.8,0.0
,2021-01-10 09:40:15,2021-01-10 09:57:26,,4.09,,,71,17,,20.87,0.0,0.5,2.75,0.0,0.3,24.42,0.0
,2021-01-10 09:47:00,2021-01-10 09:52:00,,1.45,,,48,186,,7.0,0.0,0.5,2.1,0.0,0.3,12.4,2.5
,2021-01-10 09:47:00,2021-01-10 09:56:00,,2.79,,,213,250,,17.1,0.0,0.5,2.75,0.0,0.3,20.65,0.0
,2021-01-10 09:12:09,2021-01-10 09:18:12,,1.9,,,141,74,,8.0,0.0,0.5,1.7,0.0,0.3,13.0,2.5
,2021-01-10 09:35:07,2021-01-10 09:49:39,,5.91,,,41,50,,28.76,0.0,0.5,2.75,0.0,0.3,32.31,0.0
,2021-01-10 09:00:00,2021-01-10 09:11:00,,2.7,,,222,177,,22.81,0.0,0.5,2.75,0.0,0.3,26.36,0.0
,2021-01-10 09:31:00,2021-01-10 09:37:00,,1.05,,,85,71,,13.45,0.0,0.5,2.75,0.0,0.3,17.0,0.0
,2021-01-10 09:11:00,2021-01-10 09:50:00,,20.59,,,241,76,,54.19,0.0,0.5,2.75,6.12,0.3,63.86,0.0
,2021-01-10 09:03:46,2021-01-10 09:23:00,,13.93,,,242,96,,48.46,0.0,0.5,2.75,6.12,0.3,58.13,0.0
,2021-01-10 09:14:00,2021-01-10 09:29:00,,9.88,,,212,196,,33.16,0.0,0.5,2.75,6.12,0.3,42.83,0.0
,2021-01-10 09:31:00,2021-01-10 09:52:00,,12.63,,,102,16,,37.31,0.0,0.5,2.75,0.0,0.3,40.86,0.0
,2021-01-10 09:01:39,2021-01-10 09:01:02,,17.52,,,265,74,,40.99,0.0,0.5,0.0,0.0,0.3,41.79,0.0
,2021-01-10 09:24:00,2021-01-10 09:35:00,,2.12,,,147,78,,10.89,0.0,0.5,2.46,0.0,0.3,14.15,0.0
,2021-01-11 10:27:00,2021-01-11 10:54:00,,6.47,,,224,238,,20.46,0.0,0.5,4.8,0.0,0.3,28.56,2.5
,2021-01-11 10:50:38,2021-01-11 11:01:19,,2.17,,,89,39,,23.33,0.0,0.5,2.75,0.0,0.3,26.88,0.0
,2021-01-11 10:17:00,2021-01-11 10:36:00,,2.87,,,37,61,,22.81,0.0,0.5,2.75,0.0,0.3,26.36,0.0
,2021-01-11 10:49:00,2021-01-11 11:04:00,,1.95,,,141,263,,17.0,0.0,0.5,2.75,0.0,0.3,20.55,0.0
,2021-01-11 10:06:58,2021-01-11 10:28:15,,10.52,,,92,18,,39.53,0.0,0.5,2.75,6.12,0.3,49.2,0.0
,2021-01-11 10:10:00,2021-01-11 10:45:00,,5.65,,,71,33,,24.9,0.0,0.5,2.75,0.0,0.3,28.45,0.0
,2021-01-11 10:14:39,2021-01-11 10:41:25,,6.88,,,244,141,,29.7,0.0,0.5,2.75,0.0,0.3,33.25,0.0
,2021-01-11 10:23:00,2021-01-11 10:44:00,,7.64,,,263,136,,35.29,0.0,0.5,2.75,0.0,0.3,38.84,0.0
,2021-01-11 10:34:45,2021-01-11 10:58:14,,9.7,,,234,138,,30.0,0.0,0.5,5.91,6.12,0.3,45.33,2.5
,2021-01-11 10:16:00,2021-01-11 10:34:00,,7.82,,,179,196,,24.71,0.0,0.5,2.75,0.0,0.3,28.26,0.0
,2021-01-11 10:01:35,2021-01-11 10:01:02,,6.62,,,265,196,,28.2,0.0,0.5,0.0,0.0,0.3,29.0,0.0
,2021-01-11 10:33:00,2021-01-11 11:05:00,,11.3,,,137,47,,32.04,0.0,0.5,2.75,0.0,0.3,35.59,0.0
,2021-01-11 10:14:32,2021-01-11 10:30:03,,2.73,,,97,181,,18.65,0.0,0.5,2.75,0.0,0.3,22.2,0.0
,2021-01-11 10:49:40,2021-01-11 11:13:56,,5.49,,,181,21,,28.33,0.0,0.5,2.75,0.0,0.3,31.88,0.0
,2021-01-11 10:37:00,2021-01-11 11:08:00,,6.41,,,91,228,,28.12,0.0,0.5,2.75,0.0,0.3,31.67,0.0
,2021-01-11 10:27:56,2021-01-11 10:58:58,,10.4,,,75,32,,42.95,0.0,0.5,2.75,0.0,0.3,46.5,0.0
,2021-01-11 10:44:40,2021-01-11 11:24:36,,16.28,,,25,94,,59.5,0.0,0.5,2.75,0.0,0.3,63.05,0.0
,2021-01-11 10:48:00,2021-01-11 10:56:00,,1.16,,,106,25,,12.39,0.0,0.5,2.75,0.0,0.3,15.94,0.0
,2021-01-11 10:01:13,2021-01-11 10:01:00,,1.34,,,265,19,,15.2,0.0,0.5,0.0,0.0,0.3,16.0,0.0
,2021-01-11 10:26:00,2021-01-11 10:41:00,,1.71,,,91,149,,14.95,0.0,0.5,2.75,0.0,0.3,18.5,0.0
,2021-01-11 10:34:00,2021-01-11 10:39:00,,0.51,,,151,151,,12.17,0.0,0.5,2.75,0.0,0.3,15.72,0.0
,2021-01-11 10:34:00,2021-01-11 11:05:00,,8.89,,,68,89,,29.19,0.0,0.5,2.75,6.12,0.3,38.86,0.0
,2021-01-11 10:42:00,2021-01-11 10:53:00,,1.39,,,74,42,,7.0,0.0,0.5,1.6,0.0,0.3,9.4,0.0
,2021-01-11 10:47:00,2021-01-11 11:26:00,,9.24,,,198,231,,34.23,0.0,0.5,2.75,0.0,0.3,37.78,0.0
,2021-01-11 10:03:29,2021-01-11 10:28:33,,6.21,,,208,235,,25.71,0.0,0.5,2.75,0.0,0.3,29.26,0.0
,2021-01-11 10:48:54,2021-01-11 11:21:45,,13.18,,,65,124,,36.38,0.0,0.5,2.75,0.0,0.3,39.93,0.0
,2021-01-11 10:01:13,2021-01-11 10:01:02,,2.05,,,265,61,,25.05,0.0,0.5,0.0,0.0,0.3,25.85,0.0
,2021-01-11 10:01:07,2021-01-11 10:01:02,,4.58,,,265,25,,17.8,0.0,0.5,0.0,0.0,0.3,18.6,0.0
,2021-01-11 10:46:00,2021-01-11 11:10:00,,10.74,,,161,136,,44.66,0.0,0.5,2.75,0.0,0.3,48.21,0.0
,2021-01-11 10:10:00,2021-01-11 10:33:00,,4.56,,,242,153,,25.45,0.0,0.5,2.75,0.0,0.3,29.0,0.0
,2021-01-11 10:10:00,2021-01-11 10:38:00,,10.24,,,196,218,,29.06,0.0,0.5,2.75,0.0,0.3,32.61,0.0
,2021-01-11 10:26:02,2021-01-11 10:52:57,,0.0,,,116,209,,29.7,0.0,0.5,3.3,0.0,0.3,38.3,2.5
,2021-01-11 10:31:48,2021-01-11 10:34:20,,0.0,,,181,181,,18.65,0.0,0.5,2.75,0.0,0.3,22.2,0.0
,2021-01-11 10:20:00,2021-01-11 10:39:00,,4.01,,,116,43,,22.86,0.0,0.5,2.75,0.0,0.3,26.41,0.0
,2021-01-11 10:40:00,2021-01-11 10:49:00,,4.66,,,244,200,,20.39,0.0,0.5,2.75,2.8,0.3,26.74,0.0
,2021-01-11 10:27:08,2021-01-11 10:50:20,,3.9,,,263,226,,18.5,0.0,0.5,4.36,0.0,0.3,26.16,2.5
,2021-01-11 10:01:23,2021-01-11 10:01:02,,12.56,,,265,48,,58.89,0.0,0.5,0.0,0.0,0.3,59.69,0.0
,2021-01-11 10:50:09,2021-01-11 11:12:42,,7.38,,,75,78,,31.63,0.0,0.5,2.75,0.0,0.3,35.18,0.0
,2021-01-11 10:55:00,2021-01-11 11:19:00,,6.87,,,75,249,,24.46,0.0,0.5,2.75,0.0,0.3,28.01,0.0
,2021-01-11 10:55:07,2021-01-11 11:10:43,,0.0,,,220,75,,34.36,0.0,0.5,2.75,2.8,0.3,40.71,0.0
,2021-01-11 10:04:54,2021-01-11 10:24:51,,11.38,,,170,220,,39.38,0.0,0.5,2.75,6.12,0.3,49.05,0.0
,2021-01-11 10:01:46,2021-01-11 11:01:04,,8.49,,,265,75,,22.76,0.0,0.5,0.0,0.0,0.3,23.56,0.0
,2021-01-11 10:45:44,2021-01-11 11:07:03,,4.55,,,231,161,,17.99,0.0,0.5,3.39,0.0,0.3,24.68,2.5
,2021-01-11 10:15:00,2021-01-11 10:39:00,,5.23,,,237,152,,20.4,0.0,0.5,5.05,0.0,0.3,28.75,2.5
